STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
191,DIG - Tổng công ty cổ phần đầu tư phát triển xây dựng,"DIC CORP.,",Công ty cổ phần,Bất động sản,7.96431E+12,www.dic.vn,2543859248,2543560712,"15 Thi Sách, Phường Vũng Tàu, Thành phố Hồ Chí Minh",Nguyễn Hùng Cường,,,
192,DJCC - CTCP THỦY ĐIỆN ĐAKRÔNG (ĐAKRÔNG),DJC,Công ty cổ phần,Năng lượng,2.95E+11,http://www.dakrongenergy.com,2363723713,2363723713,"THÔN XA LĂNG, XÃ ĐA KRÔNG, HUYỆN ĐA KRÔNG, TỈNH QUẢNG TRỊ",Võ Duy Tấn Huy,,,
193,DKDC - Công ty TNHH Giải pháp công nghệ tài chính và doanh nghiệp ( Tên cũ: Công ty TNHH Du lịch Khách sạn Đông Á),Công ty TNHH Du lịch Khách sạn Đông Á,Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",60000000000,không có,886812999,0,"Phòng C301, tầng 3, tòa nhà Trung tâm Thương mại Đông Á, số 668, đường Phan Đình Phùng, tổ 7, phường Đồng Quang, thành phố Thái Nguyên, tỉnh Thái Nguyên, Việt Nam.",Trần Nữ Ngọc Anh; Trần Nữ Ngọc Anh; Trần Nữ Ngọc Anh; Đàm Mạnh Quân,,,
194,DKHC - CÔNG TY CP ĐẦU TƯ DANH KHÔI HOLDINGS,DANH KHOI HOLDINGS,Công ty cổ phần,Bất động sản,1.2E+12,danhkhoi.com.vn,1900599933,1900599933,"Số 03 Trần Nhật Duật, Phường Tân Định, Quận 1, TP Hồ Chí Minh",,,,
195,DKKC - CTCP TẬP ĐOÀN DEKKO,DEKKO,Công ty cổ phần,Lĩnh vực khác,2.86E+11,http://www.dekko.com.vn,024 3752 2640,024 3752 2620,"LÔ 2,4,5 KCN NAM THĂNG LONG, P THỤY PHƯƠNG, Q BẮC TỪ LIÊM, HÀ NỘI",,,,
196,DKSC - CTCP ĐẦU TƯ BĐS DANH KHÔI SÀI GÒN,DANH KHOI SAI GON,Công ty cổ phần,Bất động sản,2.8E+11,www.danhkhoi.com.vn,028 38484666,028 38484777,"3 Trần Nhật Duật, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam.",,,,
197,DL1 - CÔNG TY CP TẬP ĐOÀN ALPHA SEVEN,ALPHA 7 GROUP,Công ty cổ phần,Lĩnh vực khác,1.01177E+12,http://www.a7group.vn,2693829201,2693829201,"120 Trần Phú, Phường Diên Hồng, TP Pleiku, Gia Lai",Nguyễn Đình Trạc,,,
198,DLAC - CTCP ĐẦU TƯ & XÂY DỰNG KIÊN TRUNG,CTCP ĐẦU TƯ & XÂY DỰNG KIÊN TRUNG,Công ty cổ phần,Bất động sản,6E+11,Không có,2633579858,2633579856,"Số 20 đường Pasteur, phường 4, tỉnh Lâm Đồng, Việt Nam",Cao Tất Thành,,,
199,DLCC - CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN ĐÔ THỊ ĐẮK LẮK,"DAK LAK URBAN CO., LTD",Công ty trách nhiệm hữu hạn,Bất động sản,4E+11,https://www.chgroup.vn/product-category/ecocity/ecocity-premia-2/,2622212121,2622212121,"Tòa nhà điều hành Dự án Ecocity Premia, Km7, đường Nguyễn Chí Thanh, Phường Tân An, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk",,,,
200,DLG - Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Duc Long Gia Lai Group,Công ty cổ phần,"Thương mại, dịch vụ",2.9931E+12,http://duclonggroup.com/,2693747366,2693747366,"90 Lê Duẩn, Phường Phù Đổng, Thành phố Pleiku, Gia Lai",Nguyễn Tường Cọt,,,
201,DLJC - CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT ĐỘC LẬP,"DOCLAP.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",5E+11,không,909367567,2839903345,"134, Đường Bạch Đằng, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Phạm Anh Tuấn,,,
202,DLTC - CTCP DU LỊCH LÂM ĐỒNG,DALATTOURIST (HNX),Công ty cổ phần,"Thương mại, dịch vụ",3.96E+11,WWW.DALATTOURIST.COM.VN,902663939,2633810363,"SỐ 01 ĐƯỜNG LÊ ĐẠI HÀNH, PHƯỜNG 1, TP ĐÀ LẠT, LÂM ĐỒNG",,,,
203,DLVC - CÔNG TY TNHH BẤT ĐỘNG SẢN ĐÀ LẠT VALLEY,"DA LAT VALLEY REAL ESTATE CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,2.754E+12,Không có,938485358,938485358,"Khu đô thị Aqua Waterfront City, ấp An Xuân, Phường Long Hưng, Tỉnh Đồng Nai, Việt Nam",,,,
204,DMDC - Công ty cổ phần Quản lý Tài sản Pyxis (tên cũ:Công ty Cổ phần Thời trang & May mặc Demoda),DMDC,Công ty cổ phần,Lĩnh vực khác,1.05E+11,demoda.vn,926996996,926996996,"Tòa nhà Sabay Tower, số 11A Hồng Hà, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thùy Linh,,,
205,DMIC - CT TNHH ĐẦU TƯ XUẤT NHẬP KHẨU TỔNG HỢP ĐỨC MAI,"DCMA CO., LTD",Công ty trách nhiệm hữu hạn,Bất động sản,2.5E+12,.,867446244,974558313,"PHÒNG 716, TẦNG 7, TÒA NHÀ VĂN PHÒNG 362 PHỐ HUẾ, P. PHỐ HUẾ, Q. HAI BÀ TRƯNG, HÀ NỘI",Nguyễn Thành Long,,,
206,DMTC - CTCP Nhựa Đồng Nai ( tên cũ: CTCP Nhựa đồng nai miền trung),Donaplast Jsco,Công ty cổ phần,Sản xuất,45000000000,không có,0235 2214014,0235 3943435,Lô 6 Khu CN Điện Nam- Điện Ngọc- P Điện Ngọc- TX.Điện Bàn - T.Quảng Nam,Huỳnh Lam Phi,,,
207,DNCC - Công ty Cổ phần Đại Nam,DNCC,Công ty cổ phần,Bất động sản,2.07E+11,KHÔNG CÓ,2743845845,2743845845,"1765A, Đại Lộ Bình Dương , Khu Phố 1 , Phường Hiệp An , Thành Phố Thủ Dầu Một , Tỉnh Bình Dương, Việt Nam",Huỳnh Uy Dũng,,,
208,DNP - Công ty Cổ phần DNP Holding,DNP Holding,Công ty cổ phần,Lĩnh vực khác,1.40975E+12,dnpcorp.vn,2513836843,2513836843,"Đường số 9, KCN Biên Hòa 1, phường Trấn Biên, Đồng Nai",Hoàng Anh Tuấn; Nguyễn Văn Hiếu; Nguyễn Văn Hiếu; Trịnh Kiên,,,
209,DPG - CTCP Tập Đoàn ĐẠT PHƯƠNG,"Dat Phuong., JSC",Công ty cổ phần,Xây dựng,6.29996E+11,https://www.datphuong.com.vn,2437830856,2437830859,"TẦNG 15, TÒA NHÀ HANDICO, KĐT MỚI MỄ TRÌ HẠ, ĐƯỜNG PHẠM HÙNG, P MỄ TRÌ, Q NAM TỪ LIÊM, HÀ NỘI",,,,
210,DPHC - Công ty Cổ phần Đại Phú Hòa,Công ty Cổ phần Đại Phú Hòa,Công ty cổ phần,Bất động sản,3.7E+11,congtydaiphuhoa.com,906480512,906480512,"Tầng 7, 19-19/2A Hồ Văn Huê, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Trương Kiến Anh; Trương Kiến Anh,,,
211,DPJC - Công ty Cổ phần Đầu tư Xây dựng Đại Thịnh Phát,DAI THINH PHAT INVEST CORP,Công ty cổ phần,Bất động sản,6E+11,Không có,2873099977,2873099978,"Tầng 2, Tòa nhà 194 Golden Building, số 473 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh",Võ Hồ Thi Hoàng,,,
212,DPLC - Công ty TNHH Điền Phát Land,DIEN PHAT LAND,Công ty trách nhiệm hữu hạn,Bất động sản,1E+11,ctydienphatland@gmail.com,913391679,913391679,"SỐ 391 PHÚ LỢI, PHƯỜNG PHÚ LỢI, TP THỦ DẦU MỘT, TỈNH BÌNH DƯƠNG, VIỆT NAM",Bùi Quốc Hùng,,,
213,DPQC - Công ty Cổ phần Đầu tư và Phát triển du lịch Phú Quốc,PHU QUOC TOURISM DEVELOPMENT AND INVESTMENT JOINT STOCK COMPANY,Công ty cổ phần,"Thương mại, dịch vụ",7.5E+12,http://pqtdic.vn,2973612666,2973612666,"Khu Bãi Dài, Xã Gành Dầu, Huyện Phú Quốc, Kiên Giang, Vietnam",Lưu Chí Hiếu; Trần Quốc Nguyên,Công ty cổ phần FiinRatings (FiinRatings),BB-,20/06/2025
214,DPWC - Công ty cổ phần Đầu tư Ngành nước DNP,DNP Water,Công ty cổ phần,Lĩnh vực khác,2.54236E+12,dnpwater.vn,0204 659 9995,0204 659 9995,"Thôn Càn, Xã Hương Sơn, huyện Lạng Giang, tỉnh Bắc Giang",Hoàng Minh Hùng; Ngô Đức Vũ,,,
215,DQMC - CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC ĐẠI QUANG MINH,ĐẠI QUANG MINH,Công ty cổ phần,Bất động sản,3.2E+13,https://www.dqmcorp.vn/,2837425566,2837425578,"Số 10, Đường Mai Chí Thọ, Phường An Khánh, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Hoàng Tuệ,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnA,17/12/2025
216,DRGC - CTCP Đầu tư và Du lịch Vạn Hương,VAN HUONG INVESTOCO,Công ty cổ phần,Bất động sản,3E+12,dragondoson.vn,2432069188,2253865859,"ND-LK79 và ND-LK80, Khu du lịch quốc tế Đồi Rồng, Phường Đồ Sơn, Thành phố Hải Phòng, Việt Nam",Phạm Minh HIếu; Phạm Ngọc Tuân,Công ty cổ phần FiinRatings (FiinRatings),B,10/4/2025
217,DRH - Công ty Cổ phần DRH Holdings,DRH HOLDING,Công ty cổ phần,Bất động sản,1.24354E+12,www.drh.vn,2838223771,2838223727,"67 Hàm Nghi, P. Sài Gòn, Tp. Hồ Chí Minh",,,,
218,DTAC - Công ty TNHH Quản lý Đầu tư Thiên An,DTA,Công ty trách nhiệm hữu hạn,Bất động sản,6.01E+11,Không có,862690690,862688188,"Phòng 708 tầng 7, tòa nhà 362 Phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",Nguyễn Hoàng Linh,,,
219,DTCC - CÔNG TY CỔ PHẦN KINH DOANH ĐÁ QUÝ VÀ TRANG SỨC ĐỨC TIẾN,DUC TIEN JOINT STOCK COMPANY,Công ty cổ phần,Lĩnh vực khác,2E+11,https://trangsucductien.com/,838243275,838243275,"66 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,,,
220,DTI - CTCP Đầu tư Đức Trung,DTI,Công ty cổ phần,Bất động sản,1.20978E+11,www.ductrung.vn,028 3811 6175,028 3811 6176,"213 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. HCM",Trần Đăng Quân; Trần Đăng Quân,,,
221,DTJC - Công ty Cổ phần Địa ốc Downtown,Downtown,Công ty cổ phần,Bất động sản,1.86E+11,downtown.com.vn,2838233225,2838233225,"Số 10 Nguyễn Huệ, Quận 1, Tp Hồ Chí Minh",Đỗ Thành Nhơn,,,
222,DTK - Tổng công ty Điện lực TKV - CTCP,DTK,Công ty cổ phần,Sản xuất,6.82767E+12,https://www.dienluctkv.vn,2435161605,2435161610,"Tầng 16, Tòa nhà Vinacomin, số 3 Dương Đình Nghệ, Phường Yên Hòa, Hà Nội",Bùi Minh Tân,,,
223,DTPC - Công Ty Cổ Phần Phát Triển Khu Công Nghệ Thông Tin Đà Nẵng,DITP,Công ty cổ phần,Bất động sản,7.77E+11,http://danangitpark.com.vn,2366537373,0,"Khu Công nghệ thông tin tập trung Đà Nẵng, Thôn Hiền Phước, Phường Liên Chiểu, Thành Phố Đà Nẵng, Việt Nam",HUỲNH NHẬT PHONG,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnB,29/06/2026
224,DTRC - Công ty cổ phần Đầu tư Phát triển Bất động sản Đô Thành,DO THANH REDI JSC,Công ty cổ phần,Bất động sản,8.5E+11,dothanh-itower.com.vn,2466863266,2466863266,"Thửa đất số 16+17+18+19, Khu QHDC đường Nguyễn Tư, Phường Lý Thường Kiệt, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",,,,
225,DVCC - CÔNG TY CP THƯƠNG MẠI VÀ DỊCH VỤ DANH VIỆT,Danh Viet Com JSC,Công ty cổ phần,Bất động sản,1.053E+12,Không có,0,0,"Thôn Hà Lãng, xã Thắng Hải, huyện Hàm Tân, tỉnh Bình Thuận, Việt Nam",Nguyễn Quốc Hiển,,,
226,DVLC - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN DRAGON VILLAGE,"DRAGON VILLAGE .,JSC",Công ty cổ phần,Bất động sản,1.2E+12,https://dragonvillage.com.vn/,903865202,903865202,"Tầng trệt, tòa nhà PVGas, số 673 Nguyễn Hữu Thọ, xã Phước Kiển, huyện Nhà Bè, TP.HCM",Nguyễn Khánh Trung; Nguyễn Đặng Duy Hải,,,
227,DVPC - Công ty cổ phần Tập đoàn Vàng bạc Đá quý DOJI,"DOJI.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",4.5E+12,www.doji.vn,2433662288,2422206686,"Tòa nhà DOJI Tower, số 5 Lê Duẩn, Phường Điện Biên, Quận Ba Đình, Hà Nội",ĐỖ VŨ PHƯƠNG ANH,,,
228,DVRC - Công ty TNHH Đầu tư và Bất động sản Diên Vĩ,DVRC,Công ty trách nhiệm hữu hạn,Bất động sản,1.48E+12,không có,938485358,938485358,"65 Nguyễn Du, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam",Lê Thanh Liêm,,,
229,DVTC - Công ty TNHH Đức Việt,DUCVIET,Công ty trách nhiệm hữu hạn,Bất động sản,4E+11,none,2973992431,0,"Tổ 2, ấp Đường Bào, xã Dương Tơ, thành phố Phú Quốc, tỉnh Kiên Giang, Việt Nam",Vũ Kim Toán,,,
230,DXG - CTCP tập đoàn Đất Xanh,DAT XANH GROUP,Công ty cổ phần,Bất động sản,1.11413E+13,datxanh.vn,2862525252,2862853896,"2w Ung Văn Khiêm, p.25, quận Bình Thạnh, TP. Hồ Chí Minh",Bùi Ngọc Đức,,,
231,DXMC - CÔNG TY CỔ PHẦN DỊCH VỤ VÀ ĐỊA ỐC ĐẤT XANH MIỀN BẮC,DXMB,Công ty cổ phần,Bất động sản,1.2072E+12,datxanhmienbac.com.vn,2473038181,(04) 62688811,"Tầng 18, Center Building, Số 1 đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",Vũ Cương Quyết,,,
232,DXTC - CÔNG TY CỔ PHẦN ĐẤT XANH MIỀN TRUNG,DAT XANH MIEN TRUNG JSC,Công ty cổ phần,Bất động sản,1.4E+12,www.datxanhmientrung.com,2366266266,2366266266,"SỐ 52-54 ĐƯỜNG VÕ VĂN KIỆT, PHƯỜNG AN HẢI ĐÔNG, QUẬN SƠN TRÀ, THÀNH PHỐ ĐÀ NẴNG",Trần Ngọc Thành,,,
233,EBCC - CÔNG TY CỔ PHẦN BCG ENERGY,BCG ENERGY,Công ty cổ phần,Sản xuất,4.5E+12,https://bamboocap.com.vn/,862680680,862991188,"27C Quốc Hương,Phường Thảo Điền,Thành phố Thủ Đức,Thành phố Hồ Chí Minh, Việt Nam",PHẠM MINH TUẤN,,,
234,ECFC - CÔNG TY CỔ PHẦN CÔNG NGHỆ TÀI CHÍNH ENCAPITAL,"ENCAPITAL.,JSC",Công ty cổ phần,Sản xuất,1.92377E+12,https://encapital.io/,247105998,247105998,"Số 46 phố Ngô Quyền, phường Hàng Bài, quận Hoàn Kiếm, thành phố Hà Nội, Việt Nam",Nguyễn Hoàng Giang,Công ty Cổ phần xếp hạng tín nhiệm S&I,BBB,28/11/2025
235,ECHC - Công ty Cổ phần Encapital Holdings,ECHC,Công ty cổ phần,Sản xuất,6.13523E+11,https://encapitalholdings.com,2471059988,2471059988,"Số 46 Phố Ngô Quyền, Phường Cửa Nam, Thành phố Hà Nội, Việt Nam",,,,
236,ECOC - CTCP ĐẦU TƯ NƯỚC SẠCH VÀ MÔI TRƯỜNG ECO&MORE,"ECO&MORE INVESTMENT.,JSC",Công ty cổ phần,Lĩnh vực khác,2E+11,.,988757806,0,"Tầng 9, Toà nhà Indochina Plaza Hà Nội, số 241 Xuân Thuỷ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành Phố Hà Nội",Nguyễn Văn Hạnh,,,
237,ECPC - CTCP Tập đoàn Ecopark,ECOPARK,Công ty cổ phần,Bất động sản,1.42662E+12,https://ecopark.com.vn/,2462627468,2438746316,"KHU ĐÔ THỊ THƯƠNG MẠI VÀ DU LỊCH VĂN GIANG, XÃ XUÂN QUAN, HUYỆN VĂN GIANG, HƯNG YÊN",Trần Quốc Việt,,,
238,EDIC - Công ty cổ phần Đầu tư và Phát triển Năng lượng Trung Nam,TNEG,Công ty cổ phần,Năng lượng,4.73194E+12,trungnamgroup.com.vn,028 62645178,028 62645180,"7A/68 Thành Thái, Khu phố 14, Phường Diên Hồng, TP. Hồ Chí Minh",Nguyễn Tâm Tiến,,,
239,EDOC - CÔNG TY TNHH ENDO VIỆT NAM,"ENDOVINA CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,3.535E+11,Chưa có,903931866,903931866,"146 NGUYỄN ĐÌNH CHIỂU, PHƯỜNG 6, QUẬN 3, TP HỒ CHÍ MINH",Nguyễn Thị Thanh Dung; Nguyễn Thị Thanh Dung; VŨ THỊ KIM THANH; VŨ THỊ KIM THANH,,,
240,EGSC - Công ty Cổ phần Đầu tư và Phát triển Eagle Side,Eagle Side,Công ty cổ phần,Bất động sản,3E+11,congtyeagleside.com,+84 28 2210 3842,+84 28 2210 3842,"8 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ngô Thái Mỹ,,,
241,EHTC - Công ty TNHH Đầu tư Bất động sản Du lịch Hoàng Trường,HOANG TRUONG TOURIST REAL ESTATE INVESTMENT COMPANY LIMITED,Công ty trách nhiệm hữu hạn,Bất động sản,2E+12,....,328188266,941316996,"Phòng 715, Tầng 7, Tòa nhà văn phòng 362 Phố Huế, phường Phố Huế, quận Hai Bà Trưng, TP Hà Nội",Nguyễn Thị Trâm Anh,,,
242,EIB - Ngân hàng Thương mại cổ phần Xuất nhập khẩu Việt Nam,Eximbank,Công ty cổ phần,Tổ chức tín dụng,1.86881E+13,https://eximbank.com.vn,(024) 73036868,(028) 38216913,"27-29 Lý Thái Tổ, phường Hoàn Kiếm, thành phố Hà Nội, Việt Nam",PHẠM THỊ HUYỀN TRANG; QUOCANH NGUYENLE,,,
243,EIGC - CÔNG TY CỔ PHẦN TẬP ĐOÀN HẠ TẦNG GIÁO DỤC,EDU INFRA GROUP,Công ty cổ phần,Lĩnh vực khác,4.978E+11,http://trinity.vn/vn/,2462629588,2462629588,"Số 12 ngách 1 ngõ 111 Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Thành phố Hà Nội",Nguyễn Ngọc Khánh,,,
244,EIPC - Công ty TNHH Đầu tư Phát triển Khu Công nghiệp EIP,EIP,Công ty trách nhiệm hữu hạn,Bất động sản,1E+12,0,947267868,0,"Thôn Guột, xã Việt Hùng, huyện Quế Võ, tỉnh Bắc Ninh",Nguyễn Trọng Tuấn; Nguyễn Đức Phương; Vũ Tiến Định,,,
245,ENCC - CÔNG TY CỔ PHẦN DK ENC VIỆT NAM,DK ENC VIETNAM JSC,Công ty cổ phần,Lĩnh vực khác,4.35275E+11,skylakegolfclub.vn,243771021,2433711231,"Khu vực hồ Văn Sơn, Xã Hoàng Văn Thụ, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam",Jang Chin Hyuk,,,
246,ENOC - CÔNG TY CỔ PHẦN NĂNG LƯỢNG ĐẠI DƯƠNG,"ENOC.,JSC",Công ty cổ phần,Xây dựng,60000000000,0,0888 192 499,0,"Số 7, Ngách 49, Ngõ 178, Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội",,,,
247,ENTC - CTCP Đầu tư Du lịch Eurowindow Nha Trang,"Eurowindow NhaTrang., SJC",Công ty cổ phần,Bất động sản,2.15E+12,www.eurowindow-holding.com,058 6250037,586250023,"146 Lê Hồng Phong, Phường Phước Hải, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",Trịnh Thị Minh Huệ,,,
248,ES1C - CTCP EA SÚP 1,EASUP 1,Công ty cổ phần,Sản xuất,7.36E+11,www.xuanthienvietnam.com,02293 886 886,2293886986,"Nhà máy Điện mặt trời Xuân Thiện Ea Súp, thôn Đoàn, xã Ia Lốp, tỉnh Đắk Lắk, Việt Nam",Mai Xuân Hương,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBBB,12/6/2026
249,ES2C - Công ty cổ phần EA Súp 2,EASUP 2,Công ty cổ phần,Sản xuất,7.06E+11,www.xuanthienvietnam.vn,2293886886,2293886986,"số 109, Hoàng Hoa Thám, Phường Tân Tiến, TP Buôn Mê Thuột, Tỉnh Đắk Lắk",Mai Xuân Hương,,,
250,ES3C - CTCP EA SÚP 3,EASUP 3,Công ty cổ phần,Sản xuất,5.53172E+12,www.xuanthienvietnam.vn,2293886886,2293886986,"Nhà máy Điện mặt trời Xuân Thiện Ea Súp 3, thôn Đoàn, xã Ia Lốp, tỉnh Đắk Lắk, Việt Nam",Nguyễn Huy Hoàng,,,
251,ES5C - CTCP EA SÚP 5,EASUP 5,Công ty cổ phần,Sản xuất,1.228E+12,www.xuanthienvietnam.vn,2293886886,2293886986,"Nhà máy Điện mặt trời Xuân Thiện Ea Súp, thôn Đoàn, xã Ia Lốp, tỉnh Đắk Lắk, Việt Nam",Nguyễn Huy Hoàng,,,
252,ETCC - CÔNG TY CỔ PHẦN VETC,"VETC.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",7.474E+11,Không có,437476666,0,"Tầng 11, Tòa nhà Tasco, Lô HH2-2, đường Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam",NGUYỄN LÊ THẮNG,,,
253,ETXC - CÔNG TY CỔ PHẦN CHỨNG KHOÁN DNSE,DNSE Jsc,Công ty cổ phần,Kinh doanh chứng khoán,3.3E+12,https://www.dnse.com.vn/,2471089234,2471089234,"Tầng 6, tòa nhà Pax Sky, 63 – 65 Ngô Thì Nhậm, phường Phạm Đình Hổ, quận Hai Bà Trưng, thành phố Hà Nội",Phạm Thị Thanh Hoa,,,
254,EUEC - CTCP XỬ LÝ RÁC THẢI VÀ NĂNG LƯỢNG EU,"EU ENER.,JSC",Công ty cổ phần,Lĩnh vực khác,1.5E+11,0,982354540,0,"TẦNG 6, TÒA NHÀ 77-79 ĐƯỜNG HOÀNG QUỐC VIẾT, PHƯỜNG NGHĨA ĐÔ, QUẬN CẦU GIẤY, HÀ NỘI",,,,
255,EVE - Công ty Cổ phần Everpia,EVE,Công ty cổ phần,Lĩnh vực khác,4.19798E+11,info@everon.com,024 3827 6490,024 3827 6492,"Cụm dân cư Nội thương, Dương Xá, Gia Lâm, Hà Nội",,,,
256,EVF - Công ty Tài chính Tổng hợp Cổ phần Điện Lực (Tên cũ: Công ty Tài chính cổ phần Điện Lực),EVF,Công ty cổ phần,Tổ chức tín dụng,7.60566E+12,www.evnfc.vn,2422229999,2422221999,"Tầng 6 và 7, tòa nhà Thaisquare Caliria – số 11A Cát Linh, phường Ô Chợ Dừa, thành phố Hà Nội",Nguyễn Hoàng Hải; Nguyễn Hoàng Hải,Moody's Ratings,B2,30/05/2025
257,EVS - Công ty Cổ phần chứng khoán Everest,EVS,Công ty cổ phần,Kinh doanh chứng khoán,1.64801E+12,https://www.eves.com.vn/,2437726699,2437726763,"Tầng 3, 6, 9 số 2A phố Đại Cồ Việt, phường Hai Bà Trưng, thành phố Hà Nội, Việt Nam",,,,
258,EWHC - Công ty CP Eurowindow Holding,"EUROWINDOW HOLDING .,JSC",Công ty cổ phần,Bất động sản,3E+12,https://eurowindow-holding.com/,2437474700,2437474759,"TẦNG 16, SỐ 2 TÔN THẤT TÙNG, P. KIM LIÊN, Q. ĐỐNG ĐA, HÀ NỘI",Nguyễn Cảnh Sơn,,,
259,F88C - Công ty cổ phần kinh doanh F88,F88 Business JSC,Công ty cổ phần,"Thương mại, dịch vụ",1.67319E+12,www.f88.vn,2473066388,8447306388,"Tầng 8, Toà nhà G-Group Tower, số 5 Nguyễn Thị Duệ, Phường Yên Hoà, Thành Phố Hà Nội, Việt Nam",Phùng Anh Tuấn,Công ty cổ phần FiinRatings (FiinRatings),BBB,10/4/2026
260,FCN - CTCP FECON,FECON CORP,Công ty cổ phần,Xây dựng,1.25439E+12,http://fecon.com.vn,2462690481,2462690484,"Tầng 15 tháp CEO, Lô HH2-1, Khu đô thị Mễ Trì Hạ, đường Phạm Hùng, Nam Từ Liêm, phường Mễ Trì, Q.Nam Từ Liêm, HN",PHẠM VIỆT KHOA,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),BBB-,15/05/2026
261,FDLC - CÔNG TY CỔ PHẦN NGOẠI THƯƠNG VÀ PHÁT TRIỂN ĐẦU TƯ ĐỊA ỐC CHÂU LỤC,FIDECOLAND SJC,Công ty cổ phần,Bất động sản,1.7E+11,Không có,(028) 39149112,(028) 39149113,"81-83-83B-85 Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",Vũ Thị Anh Tú,,,
262,FHDC - Công ty Cổ phần Flamingo Holding Group,Flamingo Holding,Công ty cổ phần,Bất động sản,1636000000,https://flamingoholdinggroup.vn/,9285628,9285628,"số 24, Tràng Tiền, phường Tràng Tiền, quận Hoàn Kiếm, Hà Nội",Nguyễn Thị Hạnh,,,
263,FHTC - CÔNG TY TNHH FLAMINGO HẢI TIẾN,FLAMINGO HAI TIEN,Công ty trách nhiệm hữu hạn,Bất động sản,6.8E+11,https://flamingoibizahaitien.vn/,2378862888,2378862888,"Khu du lịch sinh thái biển và nghỉ dưỡng Flamingo Linh Trường, thôn Giang Sơn, xã Hoằng Trường, huyện Hoằng Hóa, tỉnh Thanh Hóa, Việt Nam",Lê Thị Vân Anh,,,
264,FLC - Công ty cổ phần tập đoàn FLC,"FLC Group JSC,",Công ty cổ phần,Bất động sản,7.09998E+12,www.flc.vn,2437711111,2437245888,"Tầng 5, Tòa nhà FLC Landmark Tower, đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Bùi Hải Huyền; LÊ TIẾN DŨNG; Vũ Anh Tuân,,,
265,FNFC - Công ty Cổ phần Fuji Nutri Food,FNF,Công ty cổ phần,Bất động sản,5E+11,không có,938479759,938479759,"65 Nguyễn Du, phường Sài Gòn, TP. Hồ Chí Minh",LÝ TRƯỜNG AN,,,
266,FPTC - Công ty cổ phần Đô thị FPT Đà Nẵng,FCity,Công ty cổ phần,Bất động sản,3.5E+11,https://fptcity.vn/,236913913,236913913,"TẦNG 1, TÒA NHÀ FPT, KCN ĐÀ NẴNG , PHƯỜNG AN BẮC HẢI, Q SƠN TRÀ, TP ĐÀ NẴNG",Nguyễn Văn Lộc,,,
