STT,Ngày đăng tin,Tên DN,Mã TP,Tiền tệ,Kỳ hạn,Ngày phát hành,Ngày đáo hạn,Kỳ hạn còn lại (ngày),Khối lượng,Mệnh giá,Loại hình trả lãi,Loại lãi suất,Phương thức thanh toán lãi,Mua lại và hoán đổi,Thị trường phát hành,Lãi suất phát hành (%/năm),Tình trạng,Văn bản đính kèm,Code công ty,Loại hình,Ngành
889,2021-12-06 00:00:00,THVC - Công ty Cổ phần Toàn Hải Vân,THVCH2129004,VNĐ,,26/11/2021,30/06/2029,,1000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,THVC ,Công ty cổ phần,"Thương mại, dịch vụ"
890,2021-12-02 00:00:00,VBB - Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín,VBBL2128005,VNĐ,,26/11/2021,26/11/2028,,14098,10000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,8.03,Hiệu lực,,VBB ,Công ty cổ phần,Tổ chức tín dụng
891,2021-12-02 00:00:00,TPB - Ngân hàng Thương mại Cổ phần Tiên Phong,TPBL2125019,VNĐ,,29/11/2021,29/11/2025,,5000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.81,Hiệu lực,,TPB ,Công ty cổ phần,Tổ chức tín dụng
892,2021-12-16 00:00:00,DAKC - Công ty Liên doanh TNHH Phát triển đô thị mới An Khánh,DAKCH2124001,VNĐ,,29/11/2021,29/11/2024,,10000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,DAKC ,Công ty trách nhiệm hữu hạn,Bất động sản
893,2022-05-06 00:00:00,TD1C - Công ty cổ phần Điện gió Trung Nam Đắk Lắk 1,TD1CB2135009,VNĐ,,29/11/2021,29/07/2035,,15000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,TD1C ,Công ty cổ phần,Xây dựng
894,2021-12-10 00:00:00,CTG - Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,CTGL2136020,VNĐ,,29/11/2021,29/11/2036,,140,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.5,Hiệu lực,,CTG ,Công ty cổ phần,Tổ chức tín dụng
895,2021-12-02 00:00:00,TPB - Ngân hàng Thương mại Cổ phần Tiên Phong,TPBL2124018,VNĐ,,29/11/2021,29/11/2024,,15000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,2.63,Hiệu lực,,TPB ,Công ty cổ phần,Tổ chức tín dụng
896,2022-02-28 00:00:00,NTCC - Công ty TNHH Ngọc Thiên,NTCCH2124001,VNĐ,,30/11/2021,30/11/2024,,5000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,NTCC ,Công ty trách nhiệm hữu hạn,Sản xuất
897,2022-02-25 00:00:00,PQSC - Công ty TNHH Mặt trời Phú Quốc,PQSCB2124001,VNĐ,,30/11/2021,30/11/2024,,10000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,7.7,Hiệu lực,,PQSC ,Công ty trách nhiệm hữu hạn,Bất động sản
898,2021-12-10 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2128014,VNĐ,,30/11/2021,30/11/2028,,100,10000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.1,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
899,2021-12-14 00:00:00,SVBC - Công ty cổ phần Sovico,SVBCH2124002,VNĐ,,30/11/2021,30/11/2026,,10000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,SVBC ,Công ty cổ phần,"Thương mại, dịch vụ"
900,2022-01-06 00:00:00,MREC - CTCP BẤT ĐỘNG SẢN MỸ,MRECH2128005,VNĐ,,30/11/2021,30/11/2028,,50000,10000000,Coupon,Cố định,Một lần khi đến hạn,,,10.0,Hiệu lực,,MREC ,Công ty cổ phần,Bất động sản
901,2021-12-15 00:00:00,BSI - Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,BSIH2122003,VNĐ,,30/11/2021,30/11/2022,,2909400,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.8,Hiệu lực,,BSI ,Công ty cổ phần,Kinh doanh chứng khoán
902,2022-01-04 00:00:00,DNCC - Công ty Cổ phần Đại Nam,DNCCH2126001,VNĐ,,30/11/2021,30/11/2026,,1800000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,DNCC ,Công ty cổ phần,Bất động sản
903,2021-12-09 00:00:00,VBAC - Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VBACLH2128006,VNĐ,,30/11/2021,30/11/2028,,10577,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,6.63,Hiệu lực,,VBAC ,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng
904,2021-04-14 00:00:00,VPB - NH TMCP VIỆT NAM THỊNH VƯỢNG,VPBL2124006,VNĐ,,04/12/2021,04/12/2024,,300,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.9,Hiệu lực,,VPB ,Công ty cổ phần,Tổ chức tín dụng
905,2021-04-14 00:00:00,VPB - NH TMCP VIỆT NAM THỊNH VƯỢNG,VPBL2124005,VNĐ,,04/12/2021,04/12/2024,,500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,4.2,Hiệu lực,,VPB ,Công ty cổ phần,Tổ chức tín dụng
906,2021-04-20 00:00:00,GEG - Công ty cổ phần Điện Gia Lai,GEGB2124001,VNĐ,,04/12/2021,04/12/2024,,5000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,GEG ,Công ty cổ phần,Năng lượng
907,2021-05-19 00:00:00,TTDC - CTCP Tập đoàn Thái Tuấn,TTDCH2122001,VNĐ,,04/12/2021,27/07/2024,,3000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,TTDC ,Công ty cổ phần,Sản xuất
908,2021-04-27 00:00:00,WDLC - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN WONDERLAND,WDLCH2126001,VNĐ,,04/12/2021,04/12/2026,,10000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,WDLC ,Công ty cổ phần,Lĩnh vực khác
909,2021-05-17 00:00:00,VPB - NH TMCP VIỆT NAM THỊNH VƯỢNG,VPBL2124014,VNĐ,,05/12/2021,05/12/2024,,400,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.9,Hiệu lực,,VPB ,Công ty cổ phần,Tổ chức tín dụng
910,2021-06-16 00:00:00,HQNC - CTCP Dịch vụ Giải trí Hưng Thịnh Quy Nhơn,HQNCH2124003,VNĐ,,05/12/2021,05/12/2026,,25000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,HQNC ,Công ty cổ phần,Lĩnh vực khác
911,2021-05-20 00:00:00,TPB - Ngân hàng Thương mại Cổ phần Tiên Phong,TPBL2124003,VNĐ,,05/12/2021,05/12/2024,,10000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.8,Hiệu lực,,TPB ,Công ty cổ phần,Tổ chức tín dụng
912,2021-10-22 00:00:00,TCSC - CTCP chứng khoán Kỹ thương,TCSCH2124006,VNĐ,,07/12/2021,07/12/2024,,4999977,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,8.45,Hiệu lực,,TCSC ,Công ty cổ phần,Kinh doanh chứng khoán
913,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2126005,VNĐ,,08/12/2021,08/12/2026,,50000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
914,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2123002,VNĐ,,08/12/2021,08/12/2023,,20000,1000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
915,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2124003,VNĐ,,08/12/2021,08/12/2024,,30000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
916,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2127006,VNĐ,,08/12/2021,08/12/2027,,60000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
917,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2128007,VNĐ,,08/12/2021,08/12/2028,,60000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
918,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2125004,VNĐ,,08/12/2021,08/12/2025,,40000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
919,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2129008,VNĐ,,08/12/2021,08/12/2029,,60000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
920,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2122001,VNĐ,,08/12/2021,08/12/2022,,20000,1000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
921,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2134013,VNĐ,,08/12/2021,08/12/2034,,80000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
922,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2131010,VNĐ,,08/12/2021,08/12/2031,,70000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
923,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2132011,VNĐ,,08/12/2021,08/12/2032,,70000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
924,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2130009,VNĐ,,08/12/2021,08/12/2030,,70000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
925,2021-08-19 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDL2129026,VNĐ,,08/12/2021,08/12/2029,,500,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,6.45,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
926,2021-08-13 00:00:00,VIB - Ngân hàng TMCP Quốc tế Việt Nam,VIBL2128010,VNĐ,,08/12/2021,08/12/2028,,150,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,7.57,Hiệu lực,,VIB ,Công ty cổ phần,Tổ chức tín dụng
927,2021-09-07 00:00:00,PHDC - CÔNG TY TNHH ĐIỆN GIÓ PHƯỚC HỮU - DUYÊN HẢI 1,PHDCH2133012,VNĐ,,08/12/2021,08/12/2033,,80000,1000000,Coupon,Kết hợp,Khác,Mua lại,,10.75,Hiệu lực,,PHDC ,Công ty trách nhiệm hữu hạn,Sản xuất
928,2021-10-19 00:00:00,NVL - CTCP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,NVLH2123009,VNĐ,,08/12/2021,02/12/2023,,10000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,10.5,Hiệu lực,,NVL ,Công ty cổ phần,Bất động sản
929,2021-11-22 00:00:00,VCI - CTCP CHỨNG KHOÁN BẢN VIỆT,VCIH2123009,VNĐ,,11/12/2021,11/12/2023,,1000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.0,Hiệu lực,,VCI ,Công ty cổ phần,Kinh doanh chứng khoán
930,2021-11-19 00:00:00,NTLC - Công ty cổ phần đầu tư thương mại phát triển Nhất tín,NTLCH2123001,VNĐ,,11/12/2021,05/12/2023,,500,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.5,Hiệu lực,,NTLC ,Công ty cổ phần,Lĩnh vực khác
931,2021-11-24 00:00:00,PDCC - Công ty Cổ phần Địa ốc Phương Đông,PDCCH2124001,VNĐ,,11/12/2021,11/12/2024,,900,1000000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,PDCC ,Công ty cổ phần,Bất động sản
932,2021-12-15 00:00:00,VIB - Ngân hàng TMCP Quốc tế Việt Nam,VIBL2128020,VNĐ,,13/12/2021,13/12/2028,,500,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,7.33,Hiệu lực,,VIB ,Công ty cổ phần,Tổ chức tín dụng
933,2021-12-24 00:00:00,ACB - Ngân hàng TMCP Á Châu,ACBH2123014,VNĐ,,13/12/2021,13/12/2023,,500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.1,Hiệu lực,,ACB ,Công ty cổ phần,Tổ chức tín dụng
934,2021-12-24 00:00:00,LPB - Ngân hàng Thương mại Cổ phần Bưu Điện Liên Việt,LPBH2124014,VNĐ,,13/12/2021,13/12/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.3,Hiệu lực,,LPB ,Công ty cổ phần,Tổ chức tín dụng
935,2021-12-28 00:00:00,HCSC - Công ty cổ phần Hoàn Cầu Solar LA,HCSCH2126001,VNĐ,,13/12/2021,13/12/2026,,11000,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,HCSC ,Công ty cổ phần,Xây dựng
936,2021-12-22 00:00:00,SHS - Công ty Cổ phần chứng khoán Sài Gòn - Hà Nội,SHSH2122002,VNĐ,,13/12/2021,13/12/2022,,350,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,7.8,Hiệu lực,,SHS ,Công ty cổ phần,Kinh doanh chứng khoán
937,2021-12-15 00:00:00,ABB - Ngân hàng TMCP An Bình (ABBANK),ABBL2123015,VNĐ,,14/12/2021,14/12/2023,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,2.8,Hiệu lực,,ABB ,Công ty cổ phần,Tổ chức tín dụng
938,2021-12-24 00:00:00,SSB - Ngân hàng TMCP Đông Nam Á,SSBL2123013,VNĐ,,14/12/2021,14/06/2023,,500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,3.2,Hiệu lực,,SSB ,Công ty cổ phần,Tổ chức tín dụng
939,2021-12-17 00:00:00,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2128011,VNĐ,,14/12/2021,14/12/2028,,200,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,7.12,Hiệu lực,,HDB ,Công ty cổ phần,Tổ chức tín dụng
940,2022-04-07 00:00:00,TDLC - CÔNG TY CỔ PHẦN TANDOLAND,TDLCH2126002,VNĐ,,14/12/2021,15/10/2026,,300000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,TDLC ,Công ty cổ phần,Bất động sản
941,2021-12-22 00:00:00,VIB - Ngân hàng TMCP Quốc tế Việt Nam,VIBL2124021,VNĐ,,14/12/2021,14/12/2024,,2000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,1.8,Hiệu lực,,VIB ,Công ty cổ phần,Tổ chức tín dụng
942,2021-12-24 00:00:00,SSB - Ngân hàng TMCP Đông Nam Á,SSBL2124014,VNĐ,,15/12/2021,15/12/2024,,700,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.6,Hiệu lực,,SSB ,Công ty cổ phần,Tổ chức tín dụng
943,2021-12-23 00:00:00,VPB - NH TMCP VIỆT NAM THỊNH VƯỢNG,VPBL2124025,VNĐ,,15/12/2021,15/12/2024,,1670,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,2.4,Hiệu lực,,VPB ,Công ty cổ phần,Tổ chức tín dụng
944,2021-12-22 00:00:00,VIB - Ngân hàng TMCP Quốc tế Việt Nam,VIBL2124022,VNĐ,,15/12/2021,15/12/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,2.0,Hiệu lực,,VIB ,Công ty cổ phần,Tổ chức tín dụng
945,2021-12-17 00:00:00,OCB - Ngân hàng TMCP Phương Đông,OCBL2124011,VNĐ,,15/12/2021,15/12/2024,,500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.2,Hiệu lực,,OCB ,Công ty cổ phần,Tổ chức tín dụng
946,2021-12-20 00:00:00,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2123013,VNĐ,,15/12/2021,15/12/2023,,2000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.2,Hiệu lực,,HDB ,Công ty cổ phần,Tổ chức tín dụng
947,2022-01-06 00:00:00,SVBC - Công ty cổ phần Sovico,SVBCH2124004,VNĐ,,15/12/2021,15/12/2026,,10000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,SVBC ,Công ty cổ phần,"Thương mại, dịch vụ"
948,2021-12-17 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2128016,VNĐ,,15/12/2021,15/12/2028,,39700,10000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.1,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
949,2021-12-17 00:00:00,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2124012,VNĐ,,15/12/2021,15/12/2024,,2000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.2,Hiệu lực,,HDB ,Công ty cổ phần,Tổ chức tín dụng
950,2022-01-11 00:00:00,SDIC - Công ty Cổ phần Đầu tư và Phát triển Sài Gòn,SDICB2124001,VNĐ,,15/12/2021,15/12/2024,,65746000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,SDIC ,Công ty cổ phần,Xây dựng
951,2022-02-24 00:00:00,UDIC - CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN ĐÔ THỊ VÀ KHU CÔNG NGHIỆP,UDICH2123001,VNĐ,,15/12/2021,15/06/2023,,1250,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,UDIC ,Công ty cổ phần,Lĩnh vực khác
952,2021-12-24 00:00:00,MSFC - Công ty Tài chính TNHH MB Shinsei,MSFCLH2123001,VNĐ,,15/12/2021,15/12/2023,,500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,6.3,Hiệu lực,,MSFC ,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng
953,2021-12-28 00:00:00,LPB - Ngân hàng Thương mại Cổ phần Bưu Điện Liên Việt,LPBH2124015,VNĐ,,15/12/2021,15/12/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.3,Hiệu lực,,LPB ,Công ty cổ phần,Tổ chức tín dụng
954,2022-03-28 00:00:00,CLAC - Công ty TNHH Đầu tư Cam Lâm,CLACH2124003,VNĐ,,16/12/2021,16/12/2024,,24000,10000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.5,Hiệu lực,,CLAC ,Công ty trách nhiệm hữu hạn,Bất động sản
955,2022-03-24 00:00:00,BIDC - Công ty cổ phần BIDGROUP,BIDCH2124002,VNĐ,,16/12/2021,16/12/2024,,330,1000000000,Coupon,Kết hợp,Khác,Mua lại,,11.0,Hiệu lực,,BIDC ,Công ty cổ phần,Bất động sản
956,2021-12-22 00:00:00,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2124014,VNĐ,,16/12/2021,16/12/2024,,1500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.2,Hiệu lực,,HDB ,Công ty cổ phần,Tổ chức tín dụng
957,2021-12-22 00:00:00,VIB - Ngân hàng TMCP Quốc tế Việt Nam,VIBL2124023,VNĐ,,16/12/2021,16/12/2024,,1500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,2.0,Hiệu lực,,VIB ,Công ty cổ phần,Tổ chức tín dụng
958,2022-03-24 00:00:00,FHDC - Công ty Cổ phần Flamingo Holding Group,FHDCH2124001,VNĐ,,16/12/2021,16/12/2024,,6000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,FHDC ,Công ty cổ phần,Bất động sản
959,2021-12-17 00:00:00,ABB - Ngân hàng TMCP An Bình (ABBANK),ABBL2123016,VNĐ,,16/12/2021,16/12/2023,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,2.8,Hiệu lực,,ABB ,Công ty cổ phần,Tổ chức tín dụng
960,2021-12-17 00:00:00,DL1 - CÔNG TY CP TẬP ĐOÀN ALPHA SEVEN,DL1H2122001,VNĐ,,16/12/2021,16/12/2022,,200000,1000000,Coupon,Cố định,Khác,Mua lại,,8.0,Hiệu lực,,DL1 ,Công ty cổ phần,Lĩnh vực khác
961,2021-12-23 00:00:00,PDR - CTCP PHÁT TRIỂN BẤT ĐỘNG SẢN PHÁT ĐẠT,PDRH2123009,VNĐ,,16/12/2021,16/12/2023,,1500,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,PDR ,Công ty cổ phần,Bất động sản
962,2021-12-24 00:00:00,SSB - Ngân hàng TMCP Đông Nam Á,SSBH2124015,VNĐ,,16/12/2021,16/12/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.6,Hiệu lực,,SSB ,Công ty cổ phần,Tổ chức tín dụng
963,2021-12-23 00:00:00,VPB - NH TMCP VIỆT NAM THỊNH VƯỢNG,VPBL2124026,VNĐ,,16/12/2021,16/12/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,2.4,Hiệu lực,,VPB ,Công ty cổ phần,Tổ chức tín dụng
964,2022-02-28 00:00:00,WTPC - CÔNG TY CỔ PHẦN CUNG ĐIỆN MÙA ĐÔNG,WTPCH2125003,VNĐ,,16/12/2021,16/12/2025,,32300000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hết hiệu lực,,WTPC ,Công ty cổ phần,Bất động sản
965,2022-08-19 00:00:00,BVB - NGÂN HÀNG TMCP BẢN VIỆT,BVBH2124005,VNĐ,,17/12/2021,17/12/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.0,Hiệu lực,,BVB ,Công ty cổ phần,Tổ chức tín dụng
966,2021-12-29 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2128018,VNĐ,,17/12/2021,17/12/2028,,40000,10000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.1,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
967,2022-01-14 00:00:00,DPHC - Công ty Cổ phần Đại Phú Hòa,DPHCB2124001,VNĐ,,17/12/2021,17/12/2024,,35600000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.67,Hiệu lực,,DPHC ,Công ty cổ phần,Bất động sản
968,2021-12-24 00:00:00,BVB - NGÂN HÀNG TMCP BẢN VIỆT,BVBLH2124005,VNĐ,,17/12/2021,17/12/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.0,Hết hiệu lực,,BVB ,Công ty cổ phần,Tổ chức tín dụng
969,2021-12-22 00:00:00,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2125015,VNĐ,,17/12/2021,17/12/2025,,600,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.8,Hiệu lực,,HDB ,Công ty cổ phần,Tổ chức tín dụng
970,2021-12-28 00:00:00,BHVC - CÔNG TY CỔ PHẦN BÁCH HƯNG VƯƠNG,BHVCB2122001,VNĐ,,17/12/2021,17/12/2022,,29800000,100000,Coupon,Kết hợp,Một lần khi đến hạn,Mua lại,,10.0,Hiệu lực,,BHVC ,Công ty cổ phần,Bất động sản
971,2021-12-28 00:00:00,SVLC - Công ty Cổ phần Đầu tư Sun Valley,SVLCB2125001,VNĐ,,17/12/2021,17/12/2025,,35600000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.75,Hiệu lực,,SVLC ,Công ty cổ phần,Bất động sản
972,2022-04-18 00:00:00,PHIC - Công ty TNHH Đầu tư Phúc Hậu,PHICH2124001,VNĐ,,17/12/2021,17/12/2024,,40000,10000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.5,Hiệu lực,,PHIC ,Công ty trách nhiệm hữu hạn,Bất động sản
973,2022-01-12 00:00:00,BJCC - CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI BRIGHT JUPITER,BJCCH2124002,VNĐ,,17/12/2021,17/12/2024,,4850000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,BJCC ,Công ty cổ phần,Bất động sản
974,2021-12-30 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2128019,VNĐ,,18/12/2021,18/12/2028,,29900,10000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.1,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
